,0,1,2,3,4,5,location,area,classification,salary
891,Key Account Manager,https://www.seek.co.nz/job/50490062?type=standout#searchRequestToken=f30c8648-fd1e-4cc0-a8f8-636d29142789,Hays Talent Solutions,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
892,Executive Assistant,https://www.seek.co.nz/job/50488000?type=standout#searchRequestToken=f30c8648-fd1e-4cc0-a8f8-636d29142789,one eighty recruitment,"location: WellingtonWellingtonarea: Wellington CentralWellington Central,Competitive hourly rate","27d ago,at",Competitive hourly rate,WellingtonWellington," Wellington CentralWellington Central,Competitive hourly rate",Competitive hourly rate,
893,Temporary Office Roles,https://www.seek.co.nz/job/50524865?type=standout#searchRequestToken=f30c8648-fd1e-4cc0-a8f8-636d29142789,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","20d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
894,Temporary Office Roles,https://www.seek.co.nz/job/50477118?type=standout#searchRequestToken=f30c8648-fd1e-4cc0-a8f8-636d29142789,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","28d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
895,Executive Assistant,https://www.seek.co.nz/job/50496571?type=standout#searchRequestToken=f30c8648-fd1e-4cc0-a8f8-636d29142789,Alpha Recruitment - NZ,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
896,Contracts Administrator,https://www.seek.co.nz/job/50490283?type=standard#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,X4 Construction,location: NorthlandNorthlandarea: Rest of NorthlandRest of Northland,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration,NorthlandNorthland, Rest of NorthlandRest of Northland, Administration & Office SupportAdministration & Office SupportsubClassification: Contracts AdministrationContracts Administration,
897,Customer Service & Sales Support,https://www.seek.co.nz/job/50501057?type=standout#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,JOYN,location: ManawatuManawatuarea: Rest of ManawatuRest of Manawatu,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,ManawatuManawatu, Rest of ManawatuRest of Manawatu, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
898,Experienced Executive & Personal Assistants,https://www.seek.co.nz/job/50625980?type=standout#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,GBL Personnel,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"4d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington, Wellington CentralWellington Central," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
899,"Resource Coordinator - Construction (Plant, Material, Supplies)",https://www.seek.co.nz/job/50487373?type=standout#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,Piritahi,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
900,Temporary Office Roles,https://www.seek.co.nz/job/50597464?type=standout#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,Asset Recruitment Ltd,"location: WaikatoWaikatoarea: HamiltonHamilton,Competitive hourly rates $$","7d ago,at",Competitive hourly rates $$,WaikatoWaikato," HamiltonHamilton,Competitive hourly rates $$",Competitive hourly rates $$,
901,Team Administrator,https://www.seek.co.nz/job/50475507?type=standout#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: AucklandAucklandarea: Auckland CentralAuckland Central,"30d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
902,Executive Assistant,https://www.seek.co.nz/job/50508497?type=standard#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"24d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
903,Sales Administrator And Support,https://www.seek.co.nz/job/50482675?type=standout#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,Uniform Group (Auckland) Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
904,Customer Service And Sales Support,https://www.seek.co.nz/job/50490247?type=standout#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,Wellfit-Wstar,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Client & Sales AdministrationClient & Sales Administration,
905,Experienced Administrator,https://www.seek.co.nz/job/50490876?type=standard#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,Adecco Office,location: CanterburyCanterburyarea: ChristchurchChristchurch,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
906,Category Manager,https://www.seek.co.nz/job/50524687?type=standout#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,Bidfood,location: AucklandAucklandarea: Auckland CentralAuckland Central,"20d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: OtherOther,
907,Administrator - Temps,https://www.seek.co.nz/job/50478359?type=standout#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,Recruitment Studio,"location: AucklandAucklandarea: Auckland CentralAuckland Central,Competitive hourly rate depending on experience","28d ago,at",Competitive hourly rate depending on experience,AucklandAuckland," Auckland CentralAuckland Central,Competitive hourly rate depending on experience",Competitive hourly rate depending on experience,
908,Temp Receptionists/Administrators - Ad Agencies/Music Companies,https://www.seek.co.nz/job/50488787?type=standard#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,Metro Recruitment Ltd,location: AucklandAucklandarea: Auckland CentralAuckland Central,"27d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
909,Graduates With Office Administration Experience!,https://www.seek.co.nz/job/50481639?type=standout#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,GBL Personnel,location: WellingtonWellington,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington,, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
910,On-Site Manager,https://www.seek.co.nz/job/50481773?type=standard#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,Stonewood Group Ltd,location: WellingtonWellingtonarea: Wellington CentralWellington Central,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,WellingtonWellington, Wellington CentralWellington Central, Administration & Office SupportAdministration & Office SupportsubClassification: ReceptionistsReceptionists,
911,Business Professional - Temporary Opportunities,https://www.seek.co.nz/job/50482020?type=standout#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,Enterprise Recruitment,location: CanterburyCanterburyarea: ChristchurchChristchurch,"28d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,CanterburyCanterbury, ChristchurchChristchurch, Administration & Office SupportAdministration & Office SupportsubClassification: Office ManagementOffice Management,
912,Seeking Executive Support Candidates,https://www.seek.co.nz/job/50504568?type=standout#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,GBL Personnel,location: WellingtonWellington,"25d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,WellingtonWellington,, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
913,Pa / Team Administrators,https://www.seek.co.nz/job/50494221?type=standard#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: WellingtonWellington,"26d ago,at","classification: Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",WellingtonWellington,," Administration & Office SupportAdministration & Office SupportsubClassification: PA, EA & SecretarialPA, EA & Secretarial",
914,Temporary Service Coordinator,https://www.seek.co.nz/job/50518469?type=standout#searchRequestToken=d54dc3fa-fb2f-4667-9df6-f919e9f4fd7f,Graham Consulting,location: AucklandAucklandarea: Auckland CentralAuckland Central,"21d ago,at",classification: Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,AucklandAuckland, Auckland CentralAuckland Central, Administration & Office SupportAdministration & Office SupportsubClassification: Administrative AssistantsAdministrative Assistants,
