,job_name,job_link,post_date,area,location,classification,sub_classification,salary
467,Executive Assistant To The General Manager,https://www.seek.co.nz/job/50562005?type=standout#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-05-03,Rodney & North Shore,Auckland,Administration & Office Support,"PA, EA & Secretarial",
468,Collaboration Broker And Project Co-Ordinator,https://www.seek.co.nz/job/50581493?type=standard#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-05-06,Waitakere & West Auckland,Auckland,Administration & Office Support,"PA, EA & Secretarial",
469,Executive Assistant,https://www.seek.co.nz/job/50590820?type=standout#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-05-07,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
470,Personal Assistant / Accounts Administrator,https://www.seek.co.nz/job/50564784?type=standout#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-05-04,Rotorua,Bay of Plenty,Administration & Office Support,"PA, EA & Secretarial",
471,Practice Administrator,https://www.seek.co.nz/job/50573462?type=standout#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-05-05,Hastings,Hawkes Bay,Administration & Office Support,Office Management,
472,Ae Smith - Document Controller,https://www.seek.co.nz/job/50616787?type=standout#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-05-12,,Auckland,Administration & Office Support,Contracts Administration,
473,Sales Support | Premium Building Products | Hobsonville,https://www.seek.co.nz/job/50607729?type=standout#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-05-11,Waitakere & West Auckland,Auckland,,,$60 - $65k + Career Progression to QS / leadership
474,Jetts Nz - Customer Service Consultant,https://www.seek.co.nz/job/50547655?type=standout#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-04-30,Rodney & North Shore,Auckland,Administration & Office Support,Administrative Assistants,
475,Executive Assistant,https://www.seek.co.nz/job/50565471?type=standout#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-05-04,Palmerston North,Manawatu,Administration & Office Support,"PA, EA & Secretarial",
476,Operations Support Administrator - Kawerau - Fixed Term,https://www.seek.co.nz/job/50540642?type=standout#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-04-29,Rest of Bay of Plenty,Bay of Plenty,Administration & Office Support,Administrative Assistants,
477,Part Time Receptionist/Administrator Role,https://www.seek.co.nz/job/50532235?type=standard#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-04-28,Rest of Bay of Plenty,Bay of Plenty,Administration & Office Support,Receptionists,
478,Part Time Office Manager,https://www.seek.co.nz/job/50540699?type=standout#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-04-29,Rodney & North Shore,Auckland,,,$35 - $39.99 per hour
479,Office Administrator,https://www.seek.co.nz/job/50505606?type=standard#searchRequestToken=ec82669d-3493-43a6-a1d1-f4d6a1783f7a,2023-04-22,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
480,Purchasing And Administration Assistant : Full Or Part-Time,https://www.seek.co.nz/job/50517665?type=standout#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-04-26,Timaru & South Canterbury,Canterbury,Administration & Office Support,Administrative Assistants,
481,School Secretary,https://www.seek.co.nz/job/50519901?type=standard#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-04-26,Rodney & North Shore,Auckland,Administration & Office Support,Administrative Assistants,
482,Personal Assistant,https://www.seek.co.nz/job/50532503?type=standard#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-04-28,Queenstown & Wanaka,Otago,,,"$55,000 - $64,999"
483,Subcontractor Compliance Administrator (Fixed Term),https://www.seek.co.nz/job/50562164?type=standout#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-05-03,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
484,Part Time Cashier / Office Administration,https://www.seek.co.nz/job/50485533?type=standard#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-04-20,Taupo,Waikato,Administration & Office Support,Administrative Assistants,
485,Executive Assistant To Global Management Team,https://www.seek.co.nz/job/50585398?type=standout#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-05-06,Palmerston North,Manawatu,Administration & Office Support,"PA, EA & Secretarial",
486,Contracts Administrator,https://www.seek.co.nz/job/50583605?type=standout#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-05-06,Napier,Hawkes Bay,Administration & Office Support,Contracts Administration,
487,Senior Adviser Creative Communities Scheme,https://www.seek.co.nz/job/50617074?type=standout#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-05-12,Wellington Central,Wellington,Administration & Office Support,Client & Sales Administration,
488,System Support Specialist - Document And Records Management,https://www.seek.co.nz/job/50583096?type=standout#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-05-06,Hamilton,Waikato,Administration & Office Support,Records Management & Document Control,
489,Waiuku Mitre 10 - Trade Administration/Sales Support,https://www.seek.co.nz/job/50588017?type=standout#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-05-07,Papakura & Franklin,Auckland,Administration & Office Support,Other,
490,Executive Assistant To Chief Financial Officer,https://www.seek.co.nz/job/50581609?type=standard#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-05-06,Palmerston North,Manawatu,Administration & Office Support,"PA, EA & Secretarial",
491,Sales And Purchase Support Officer,https://www.seek.co.nz/job/50559563?type=standard#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-05-03,Waitakere & West Auckland,Auckland,Administration & Office Support,Client & Sales Administration,
492,Crm Ninja,https://www.seek.co.nz/job/50563938?type=standout#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-05-04,Manukau & East Auckland,Auckland,Administration & Office Support,Client & Sales Administration,
493,Secretary/Pa,https://www.seek.co.nz/job/50567161?type=standard#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-05-04,Hamilton,Waikato,Administration & Office Support,"PA, EA & Secretarial",
494,Office Administrator,https://www.seek.co.nz/job/50527000?type=standout#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-04-27,Waitakere & West Auckland,Auckland,,,$20 - $24.99 per hour dependent on experience.
495,Chiropractic Assistant,https://www.seek.co.nz/job/50534435?type=standard#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-04-28,Papakura & Franklin,Auckland,Administration & Office Support,Office Management,
496,Senior Adviser Creative Communities Scheme,https://www.seek.co.nz/job/50617393?type=standout#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-05-12,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
497,Senior Adviser Creative Communities Scheme,https://www.seek.co.nz/job/50617113?type=standout#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-05-12,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
498,Operations Support,https://www.seek.co.nz/job/50520432?type=standout#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-04-26,Palmerston North,Manawatu,Administration & Office Support,Other,
499,Project Coordinator - Pmo (Infrastructure Delivery),https://www.seek.co.nz/job/50590736?type=standout#searchRequestToken=3e005dd7-bb11-4e3d-aaba-abd91d916c95,2023-05-07,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
500,Document Management Specialist,https://www.seek.co.nz/job/50597771?type=standout#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-05-10,Christchurch,Canterbury,Administration & Office Support,Records Management & Document Control,
501,Key Account Administrator- (12 Month Maternity Cover),https://www.seek.co.nz/job/50588293?type=standout#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-05-07,Christchurch,Canterbury,Administration & Office Support,Client & Sales Administration,
502,Temporary Business Support Roles,https://www.seek.co.nz/job/50591235?type=standard#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-05-07,,Wellington,Administration & Office Support,Administrative Assistants,
503,Senior Administrator And Word Processor,https://www.seek.co.nz/job/50584627?type=standard#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-05-06,Auckland Central,Auckland,,,
504,Client Services Coordinator,https://www.seek.co.nz/job/50519754?type=standard#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-04-26,Christchurch,Canterbury,Administration & Office Support,Client & Sales Administration,
505,Administrator/Secretarial Support,https://www.seek.co.nz/job/50529232?type=standout#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-04-27,Auckland Central,Auckland,Administration & Office Support,"PA, EA & Secretarial",
506,Executive Assistant,https://www.seek.co.nz/job/50582790?type=standout#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-05-06,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
507,Practice Manager,https://www.seek.co.nz/job/50575051?type=standout#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-05-05,New Plymouth,Taranaki,Administration & Office Support,Office Management,
508,International Delegate-Climate Change,https://www.seek.co.nz/job/50561010?type=standout#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-05-03,Wellington Central,Wellington,Administration & Office Support,Other,
509,Executive Assistant,https://www.seek.co.nz/job/50610223?type=standout#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-05-11,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
510,Customer Service,https://www.seek.co.nz/job/50532433?type=standout#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-04-28,Rodney & North Shore,Auckland,Administration & Office Support,Client & Sales Administration,
511,Regional Building Coordinator,https://www.seek.co.nz/job/50546997?type=standout#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-04-30,Whangarei,Northland,Administration & Office Support,Office Management,
512,"Executive Assistant, Regional Partnerships & Operations Te Puni, Hamilton",https://www.seek.co.nz/job/50557340?type=standout#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-05-03,Hamilton,Waikato,Administration & Office Support,"PA, EA & Secretarial",
513,Executive Assistant / Group Coordinator,https://www.seek.co.nz/job/50590743?type=standout#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-05-07,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
514,Senior Administrator,https://www.seek.co.nz/job/50551511?type=standout#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-04-30,Hamilton,Waikato,Administration & Office Support,Administrative Assistants,
515,Part Time Property Administrator,https://www.seek.co.nz/job/50548448?type=standout#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-04-30,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
516,Part Time Legal Administration Assistant,https://www.seek.co.nz/job/50508247?type=standard#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-04-23,Hutt Valley,Wellington,Administration & Office Support,Administrative Assistants,
517,Customer Sales & Service Administrator,https://www.seek.co.nz/job/50566261?type=standard#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-05-04,Wellington Central,Wellington,,,$20 - $24.99 per hour
518,Contract Administration Manager,https://www.seek.co.nz/job/50564756?type=standout#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-05-04,Wellington Central,Wellington,Administration & Office Support,Office Management,
519,Purchasing Admin,https://www.seek.co.nz/job/50539653?type=standout#searchRequestToken=c2c16e1c-8a2a-4fa0-a9eb-6b072a483bcc,2023-04-29,,Bay of Plenty,Administration & Office Support,Administrative Assistants,
520,Part-Time Executive Assistant /Accounts Administrator,https://www.seek.co.nz/job/50554836?type=standard#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-05-01,Auckland Central,Auckland,Administration & Office Support,"PA, EA & Secretarial",
521,Project Administrator - Fixed Term,https://www.seek.co.nz/job/50577330?type=standout#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-05-05,Dunedin,Otago,Administration & Office Support,Administrative Assistants,
522,Scheduler - Part Time,https://www.seek.co.nz/job/50543523?type=standard#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-04-29,Tauranga,Bay of Plenty,Administration & Office Support,Administrative Assistants,
523,Personal Assistant - Harcourts Paremata,https://www.seek.co.nz/job/50529656?type=standout#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-04-27,Porirua & Kapiti Coast,Wellington,Administration & Office Support,"PA, EA & Secretarial",
524,Church Administrator,https://www.seek.co.nz/job/50525646?type=standard#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-04-27,Rest of Canterbury,Canterbury,Administration & Office Support,Administrative Assistants,
525,Executive Assistant,https://www.seek.co.nz/job/50588123?type=standout#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-05-07,Wellington Central,Wellington,Administration & Office Support,"PA, EA & Secretarial",
526,Administration Assistant,https://www.seek.co.nz/job/50480312?type=standout#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-04-19,Nelson,Tasman,Administration & Office Support,Administrative Assistants,
527,Personal Assistant/Administrator,https://www.seek.co.nz/job/50525247?type=standout#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-04-27,Tauranga,Bay of Plenty,Administration & Office Support,"PA, EA & Secretarial",
528,Marine Product And Plarform Support,https://www.seek.co.nz/job/50580452?type=standout#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-05-06,Auckland Central,Auckland,Administration & Office Support,Client & Sales Administration,
529,Office Administrator / Sales Support - Ashburton,https://www.seek.co.nz/job/50540480?type=standard#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-04-29,Timaru & South Canterbury,Canterbury,Administration & Office Support,Client & Sales Administration,
530,Short-Term Temp Receptionists,https://www.seek.co.nz/job/50608382?type=standout#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-05-11,Christchurch,Canterbury,,,
531,Information Management Advisor - Fixed Term,https://www.seek.co.nz/job/50615689?type=standout#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-05-12,Wellington Central,Wellington,Administration & Office Support,Records Management & Document Control,
532,Safety & Assurance Coordinator,https://www.seek.co.nz/job/50572332?type=standout#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-05-05,Auckland Central,Auckland,,,"$60,000 pa"
533,Reception/Administration,https://www.seek.co.nz/job/50516269?type=standard#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-04-24,Rodney & North Shore,Auckland,,,"$40,000 - $49,999"
534,Administration Assistant,https://www.seek.co.nz/job/50486449?type=standard#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-04-20,Auckland Central,Auckland,Administration & Office Support,Administrative Assistants,
535,Senior Administrator,https://www.seek.co.nz/job/50608801?type=standout#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-05-11,Wellington Central,Wellington,Administration & Office Support,Administrative Assistants,
536,Administration And Customer Service Opportunities,https://www.seek.co.nz/job/50572479?type=standard#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-05-05,Manukau & East Auckland,Auckland,,,$21 - $25 p.h. + 8% Holiday Pay
537,Customer Service & Office Manager,https://www.seek.co.nz/job/50526267?type=standout#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-04-27,Christchurch,Canterbury,Administration & Office Support,Office Management,
538,Office Administration / Customer Support,https://www.seek.co.nz/job/50535514?type=standout#searchRequestToken=0331383f-1ffe-4e77-ab32-2c17476a1846,2023-04-28,Manukau & East Auckland,Auckland,Administration & Office Support,Administrative Assistants,
